kepid,kepoi_name,koi_disposition,koi_period,koi_duration,koi_depth,koi_prad,koi_model_snr,koi_steff,koi_slogg,koi_srad,label
9518318,K01978.02,CONFIRMED,23.85163321,2.4453,833.7,3.37,28.6,6032.0,4.465,1.001,planet_transit
7273277,K01979.01,CONFIRMED,2.714078374,1.3115,143.5,1.38,36.8,5815.0,4.461,0.992,planet_transit
11769890,K01980.01,CONFIRMED,122.8799543,7.835,717.7,2.7,41.9,5413.0,4.51,0.861,planet_transit
6862721,K01982.01,CONFIRMED,4.88753111,2.034,679.6,2.45,17.4,5568.0,4.499,0.957,planet_transit
12301181,K02059.01,CONFIRMED,6.14728341,2.7645,119.7,0.79,26.8,4997.0,4.598,0.746,planet_transit
9279354,K02060.01,CONFIRMED,2.800111267,1.0237,706.7,2.13,33.5,4786.0,4.579,0.704,planet_transit
6774880,K02062.01,CONFIRMED,34.3511339,4.4408,599.4,2.75,28.8,6091.0,4.487,0.967,planet_transit
3937519,K00221.01,CONFIRMED,3.413036353,2.61366,3868.7,6.62,480.7,5392.0,4.314,1.087,planet_transit
7449541,K02063.01,CONFIRMED,3.00725068,4.4302,285.8,1.56,30.0,5667.0,4.587,0.781,planet_transit
5080636,K01843.01,CONFIRMED,4.194496867,1.7807,660.7,1.57,45.0,3706.0,4.747,0.522,planet_transit
3338885,K01845.01,CONFIRMED,1.970340203,1.7901,403.2,3.97,56.3,4883.0,3.972,1.667,planet_transit
3338885,K01845.02,CONFIRMED,5.05821338,1.132,748.3,10.69,43.2,4883.0,3.972,1.667,planet_transit
6776401,K01847.01,CONFIRMED,26.85323647,4.4557,965.8,2.65,53.3,5329.0,4.455,0.869,planet_transit
10130039,K01909.03,CONFIRMED,25.0985083,2.7727,167.6,1.59,21.3,5782.0,4.34,1.095,planet_transit
8226050,K01910.01,CONFIRMED,34.2685741,4.8251,699.3,2.44,38.2,5083.0,4.468,0.872,planet_transit
9965957,K01911.01,CONFIRMED,5.75321539,1.7948,733.8,3.14,31.8,5445.0,4.51,0.929,planet_transit
9704384,K01913.01,CONFIRMED,5.50860699,3.0788,203.9,1.49,38.2,5448.0,4.489,0.883,planet_transit
8426567,K01914.01,CONFIRMED,18.93055119,3.372,684.0,4.41,26.2,5015.0,3.987,1.643,planet_transit
12508335,K00215.01,FALSE POSITIVE,42.94386258,3.7591,9207.9,41.62,273.0,5750.0,4.4,0.94,false_positive
10094670,K01984.01,CONFIRMED,22.06402,4.1,388.7,2.67,31.5,6232.0,4.432,1.09,planet_transit
8142942,K01985.01,CONFIRMED,5.756245244,1.071,623.6,2.24,45.5,4931.0,4.605,0.734,planet_transit
8257205,K01986.01,CONFIRMED,148.4601819,5.499,1532.1,3.61,33.7,5159.0,4.548,0.821,planet_transit
9044228,K01988.01,CONFIRMED,0.934885365,1.4083,270.4,3.21,57.8,4777.0,3.909,1.795,planet_transit
7265298,K02051.01,CONFIRMED,25.7626846,6.908,619.5,2.66,38.0,5739.0,4.381,1.069,planet_transit
7265298,K02051.02,CONFIRMED,11.0317836,4.753,182.3,1.45,14.1,5739.0,4.381,1.069,planet_transit
